0,87,23,41,29,45,36,50,68,8,28,68,94,44,54
87,0,110,46,102,42,83,53,49,95,115,31,91,131,131
23,110,0,64,22,68,29,73,67,15,23,91,87,33,47
41,46,64,0,56,18,37,59,43,49,69,37,69,85,85
29,102,22,56,0,60,19,65,59,31,45,83,65,55,29
45,42,68,18,60,0,41,41,61,53,73,23,87,89,89
36,83,29,37,19,41,0,70,40,38,52,64,58,62,48
50,53,73,59,65,41,70,0,102,58,78,22,128,94,94
68,49,67,43,59,61,40,102,0,70,84,80,48,94,88
8,95,15,49,31,53,38,58,70,0,20,76,96,36,56
28,115,23,69,45,73,52,78,84,20,0,96,110,16,70
68,31,91,37,83,23,64,22,80,76,96,0,106,112,112
94,91,87,69,65,87,58,128,48,96,110,106,0,120,40
44,131,33,85,55,89,62,94,94,36,16,112,120,0,80
54,131,47,85,29,89,48,94,88,56,70,112,40,80,0
