0,153,147,144,63,111,95,33,120,64,85,116,123,102,96
153,0,6,15,90,42,74,120,33,89,68,37,30,51,57
147,6,0,9,84,36,80,114,27,83,68,31,26,45,51
144,15,9,0,81,33,89,111,26,82,77,28,35,42,48
63,90,84,81,0,48,56,30,57,49,44,53,60,39,67
111,42,36,33,48,0,56,78,9,49,44,23,12,29,67
95,74,80,89,56,56,0,82,63,31,12,79,54,85,123
33,120,114,111,30,78,82,0,87,75,70,83,90,69,63
120,33,27,26,57,9,63,87,0,56,51,16,9,22,60
64,89,83,82,49,49,31,75,56,0,21,72,59,78,116
85,68,68,77,44,44,12,70,51,21,0,67,42,73,111
116,37,31,28,53,23,79,83,16,72,67,0,25,14,44
123,30,26,35,60,12,54,90,9,59,42,25,0,31,69
102,51,45,42,39,29,85,69,22,78,73,14,31,0,38
96,57,51,48,67,67,123,63,60,116,111,44,69,38,0
