0,40,65,61,108,56,80,116,63,10,31,27,95,128,91
40,0,47,51,90,38,62,156,51,50,55,13,77,110,131
65,47,0,32,43,15,23,137,32,61,36,56,30,63,112
61,51,32,0,47,17,19,105,2,57,30,52,34,67,80
108,90,43,47,0,52,28,106,45,104,77,99,13,20,81
56,38,15,17,52,0,24,122,17,52,25,47,39,72,97
80,62,23,19,28,24,0,114,17,76,49,71,15,48,89
116,156,137,105,106,122,114,0,105,106,101,143,119,90,25
63,51,32,2,45,17,17,105,0,59,32,54,32,65,80
10,50,61,57,104,52,76,106,59,0,27,37,91,124,81
31,55,36,30,77,25,49,101,32,27,0,42,64,97,76
27,13,56,52,99,47,71,143,54,37,42,0,86,119,118
95,77,30,34,13,39,15,119,32,91,64,86,0,33,94
128,110,63,67,20,72,48,90,65,124,97,119,33,0,75
91,131,112,80,81,97,89,25,80,81,76,118,94,75,0
