0,74,45,92,40,64,54,62,23,30,39,56,33,35,92
74,0,119,88,104,134,54,46,69,68,45,102,103,49,56
45,119,0,137,85,81,99,107,50,75,74,57,40,80,93
92,88,137,0,52,56,38,42,87,62,63,120,97,57,110
40,104,85,52,0,30,50,58,57,36,73,90,45,55,126
64,134,81,56,30,0,80,88,87,66,103,120,41,85,156
54,54,99,38,50,80,0,8,49,24,25,82,59,19,76
62,46,107,42,58,88,8,0,57,32,33,90,67,27,68
23,69,50,87,57,87,49,57,0,25,24,33,56,30,69
30,68,75,62,36,66,24,32,25,0,37,58,35,19,90
39,45,74,63,73,103,25,33,24,37,0,57,72,18,53
56,102,57,120,90,120,82,90,33,58,57,0,89,63,46
33,103,40,97,45,41,59,67,56,35,72,89,0,54,125
35,49,80,57,55,85,19,27,30,19,18,63,54,0,71
92,56,93,110,126,156,76,68,69,90,53,46,125,71,0
