0,50,14,50,32,67,8,45,22,35,96,27,15,26,32
50,0,40,26,82,91,44,53,46,85,46,55,35,76,28
14,40,0,64,46,53,6,59,8,45,86,41,29,36,22
50,26,64,0,74,117,58,45,72,77,54,47,35,68,54
32,82,46,74,0,99,40,29,54,13,128,27,47,38,64
67,91,53,117,99,0,59,112,45,86,101,94,82,69,63
8,44,6,58,40,59,0,53,14,41,90,35,23,32,26
45,53,59,45,29,112,53,0,67,32,99,18,30,51,49
22,46,8,72,54,45,14,67,0,49,82,49,37,40,18
35,85,45,77,13,86,41,32,49,0,131,30,50,25,67
96,46,86,54,128,101,90,99,82,131,0,101,81,122,64
27,55,41,47,27,94,35,18,49,30,101,0,20,33,37
15,35,29,35,47,82,23,30,37,50,81,20,0,41,19
26,76,36,68,38,69,32,51,40,25,122,33,41,0,58
32,28,22,54,64,63,26,49,18,67,64,37,19,58,0
