0,79,91,81,37,40,95,87,68,82,34,29,23,68,13
79,0,22,106,80,67,32,20,15,51,73,108,56,13,66
91,22,0,84,92,79,10,4,37,29,85,120,68,23,78
81,106,84,0,118,41,74,86,121,55,115,72,104,93,76
37,80,92,118,0,77,96,88,69,83,7,58,24,69,42
40,67,79,41,77,0,83,75,80,70,74,41,63,56,35
95,32,10,74,96,83,0,12,47,19,89,124,72,27,82
87,20,4,86,88,75,12,0,35,31,81,116,64,19,74
68,15,37,121,69,80,47,35,0,66,62,97,45,28,55
82,51,29,55,83,70,19,31,66,0,76,111,59,38,69
34,73,85,115,7,74,89,81,62,76,0,55,17,62,39
29,108,120,72,58,41,124,116,97,111,55,0,52,97,42
23,56,68,104,24,63,72,64,45,59,17,52,0,45,28
68,13,23,93,69,56,27,19,28,38,62,97,45,0,55
13,66,78,76,42,35,82,74,55,69,39,42,28,55,0
