0,83,98,32,87,101,117,38,49,14,18,47,31,107,88
83,0,15,91,46,20,42,45,34,69,97,36,52,106,87
98,15,0,106,41,15,37,60,49,84,112,51,67,101,82
32,91,106,0,95,109,125,66,57,26,14,55,39,75,58
87,46,41,95,0,26,30,81,68,73,101,40,56,60,41
101,20,15,109,26,0,22,63,52,87,115,54,70,86,67
117,42,37,125,30,22,0,79,68,103,131,70,86,90,67
38,45,60,66,81,63,79,0,13,40,52,57,51,141,122
49,34,49,57,68,52,68,13,0,35,63,44,38,128,109
14,69,84,26,73,87,103,40,35,0,28,33,17,101,82
18,97,112,14,101,115,131,52,63,28,0,61,45,89,70
47,36,51,55,40,54,70,57,44,33,61,0,16,84,65
31,52,67,39,56,70,86,51,38,17,45,16,0,90,71
107,106,101,75,60,86,90,141,128,101,89,84,90,0,23
88,87,82,58,41,67,67,122,109,82,70,65,71,23,0
