0,103,76,18,124,63,56,74,144,41,105,106,53,158,176
103,0,27,85,67,52,123,111,91,62,132,83,50,63,73
76,27,0,74,70,55,126,114,94,35,135,86,49,82,100
18,85,74,0,106,45,52,56,126,45,87,88,35,140,158
124,67,70,106,0,61,68,50,24,83,65,18,71,34,52
63,52,55,45,61,0,71,59,81,26,80,43,10,95,113
56,123,126,52,68,71,0,18,88,97,49,50,77,102,120
74,111,114,56,50,59,18,0,70,85,31,32,65,84,102
144,91,94,126,24,81,88,70,0,103,41,38,91,28,32
41,62,35,45,83,26,97,85,103,0,106,65,20,117,135
105,132,135,87,65,80,49,31,41,106,0,49,86,69,71
106,83,86,88,18,43,50,32,38,65,49,0,53,52,70
53,50,49,35,71,10,77,65,91,20,86,53,0,105,123
158,63,82,140,34,95,102,84,28,117,69,52,105,0,18
176,73,100,158,52,113,120,102,32,135,71,70,123,18,0
